Time;Type;Volume;Symbol;Price;Volume;Time;Price;Commission;Swap;Profit
2022.10.21 16:33:45;Buy;0.1;GBPUSD;1.11484;0.1;2022.10.21 17:09:16;1.12134;;;65
2022.10.21 16:36:28;Buy;0.1;XAUUSD;1638.35;0.1;2022.10.21 17:00:51;1642.74;;;43.9
2022.10.21 16:32:56;Buy;0.1;XAUUSD;1635.88;0.1;2022.10.21 17:00:21;1643.11;;;72.3
2022.10.21 05:16:31;Buy;0.1;XAUUSD;1627.01;0.1;2022.10.21 06:43:59;1621.37;;;-56.4
2022.10.20 18:16:49;Buy;0.1;GBPUSD;1.12981;0.1;2022.10.20 21:21:37;1.12143;;;-83.8
2022.10.20 18:04:31;Buy;0.1;XAUUSD;1645.52;0.1;2022.10.20 20:50:59;1629.92;;;-156
2022.10.20 13:44:20;Buy;0.1;EURUSD;0.97956;0.1;2022.10.20 17:26:11;0.9831;;;35.4
2022.10.20 13:54:57;Buy;0.1;GBPUSD;1.1232199999999999;0.1;2022.10.20 17:26:09;1.1327099999999999;;;94.9
2022.10.20 12:41:47;Buy;0.1;XAUUSD;1634.56;0.1;2022.10.20 17:26:08;1641.4;;;68.4
2022.10.20 12:37:59;Buy;0.1;GBPUSD;1.11941;0.1;2022.10.20 17:26:06;1.13255;;;131.4
2022.10.20 04:56:54;Sell;0.1;XAUUSD;1624.62;0.1;2022.10.20 12:41:08;1634.5;;;-98.8
2022.10.20 12:19:34;Sell;0.1;XAUUSD;1633.01;0.1;2022.10.20 12:41:06;1634.55;;;-15.4
2022.10.20 04:59:40;Sell;0.1;GBPUSD;1.11979;0.1;2022.10.20 12:28:46;1.11831;;;14.8
2022.10.19 16:22:06;Buy;0.1;GBPUSD;1.12558;0.1;2022.10.19 19:30:54;1.1197300000000001;;;-58.5
2022.10.19 16:22:20;Buy;0.1;XAUUSD;1636.07;0.1;2022.10.19 19:26:59;1628.41;;;-76.6
2022.10.19 13:33:05;Sell;0.1;XAUUSD;1634.56;0.1;2022.10.19 16:21:10;1636.31;;;-17.5
2022.10.19 13:32:15;Sell;0.1;GBPUSD;1.1254;0.1;2022.10.19 14:23:30;1.12382;;;15.8
2022.10.19 11:10:36;Sell;0.1;GBPUSD;1.12561;0.1;2022.10.19 11:25:54;1.12511;;;5
